ProductVariety,MarketingSpend,CustomerFootfall,StoreSize,EmployeeEfficiency,StoreAge,CompetitorDistance,PromotionsCount,EconomicIndicator,StoreLocation,StoreCategory,MonthlySalesRevenue
524,37,2507,232,90.8,2,7,7,83.4,Los Angeles,Grocery,254.58
569,10,3168,115,54.2,14,10,3,102.5,San Francisco,Clothing,298.26
341,41,2148,458,53.8,3,9,7,104.6,Palo Alto,Clothing,307.22
658,16,1632,345,72.3,18,12,4,95.3,Sacramento,Electronics,348.6
609,36,2140,230,63.2,1,6,7,128.4,Los Angeles,Clothing,285.25
350,20,1874,58,68.7,28,4,5,93.9,San Francisco,Grocery,175.45
123,41,2450,201,93,8,14,7,116.2,San Francisco,Electronics,193.79
743,14,2364,270,91.3,24,15,4,115.7,San Francisco,Grocery,329.44
550,13,1274,365,76.5,25,14,5,111,Palo Alto,Grocery,370
689,45,2753,258,58.7,15,13,6,132.9,Los Angeles,Clothing,310.33
587,48,2079,325,87.4,24,6,8,117,Palo Alto,Grocery,352.54
359,30,1764,345,59.4,24,10,6,93,Palo Alto,Electronics,272.66
401,38,2517,162,74.9,10,10,7,122.7,Los Angeles,Clothing,219.76
626,36,1814,451,54.2,15,15,6,80,Los Angeles,Grocery,421.11
537,22,1576,441,87.3,22,11,5,94.1,Sacramento,Clothing,393.86
330,12,1754,240,91.3,27,13,4,107.3,Sacramento,Clothing,235.99
606,20,1157,181,85.1,25,11,4,93.9,Los Angeles,Clothing,270.8
362,21,2155,85,86.2,24,6,5,94,Palo Alto,Electronics,238.37
747,35,2233,449,78.6,30,7,6,128,Los Angeles,Grocery,404.24
522,31,1481,480,69.5,8,7,6,87.5,San Francisco,Electronics,387.57
450,26,1855,57,77.8,16,7,6,91,Los Angeles,Electronics,197.63
562,31,1078,479,55.7,8,11,5,82.5,San Francisco,Clothing,338.81
464,27,1744,315,52.5,12,7,6,82,San Francisco,Clothing,324.74
572,23,2073,247,55,3,9,5,84.3,Palo Alto,Electronics,334.85
406,41,2293,485,57.6,29,14,7,101.5,Los Angeles,Grocery,325.75
646,12,878,400,77.5,5,4,4,93.3,Sacramento,Electronics,380.99
521,36,1997,159,78.6,8,14,7,107.5,Los Angeles,Electronics,285.32
702,39,1385,322,68.1,4,14,6,104.4,Los Angeles,Clothing,390.31
286,7,1805,74,60.4,30,8,3,100.7,Sacramento,Grocery,143.15
507,25,2277,55,57.2,30,9,5,84.6,Los Angeles,Grocery,223.89
382,32,1886,188,62.6,2,11,6,117.9,San Francisco,Electronics,190.08
556,42,1846,131,84,1,10,8,107.9,Sacramento,Electronics,288.98
531,33,2056,93,70.6,16,9,6,121.7,Sacramento,Electronics,206.31
691,10,2999,141,89.1,9,10,4,96.4,Los Angeles,Electronics,311.14
526,45,2615,197,53.9,9,7,7,100.2,Los Angeles,Grocery,280.92
285,16,1610,371,62.3,12,12,5,88.2,Palo Alto,Grocery,215.4
444,29,2161,241,50.2,16,11,5,87.7,Los Angeles,Clothing,272.61
747,17,2268,233,65.8,25,8,4,104.7,San Francisco,Clothing,319.96
536,34,2480,212,79.9,23,9,5,80.3,Sacramento,Electronics,313.91
362,13,2020,166,75.2,1,12,4,107.7,Palo Alto,Clothing,239.11
272,15,1387,425,70.5,13,10,5,106.2,Los Angeles,Grocery,325.73
512,6,1675,483,62.8,14,8,4,121.5,Sacramento,Grocery,385.29
346,6,2127,386,81.4,11,12,4,110.8,Los Angeles,Grocery,319.73
633,37,2182,119,63.6,23,14,6,90.3,Los Angeles,Grocery,267.45
488,18,1509,137,53.1,23,8,5,101.7,Los Angeles,Grocery,249.4
632,12,1849,261,67.2,17,3,4,105.9,Los Angeles,Grocery,348.88
632,47,2015,415,65.4,5,10,7,125.6,San Francisco,Grocery,425.66
338,32,1790,51,59.2,29,14,5,89.9,Sacramento,Clothing,153.34
795,44,1820,156,63.2,8,10,7,125,Sacramento,Electronics,357.4
537,49,1619,225,74.5,17,12,8,60,Palo Alto,Grocery,309.52
354,14,3227,424,56.7,12,4,4,103,Los Angeles,Electronics,289.67
527,7,1535,290,82.5,10,8,4,110.9,San Francisco,Electronics,314.77
532,6,2262,483,56,29,17,3,117.9,Sacramento,Clothing,340.56
684,29,2390,374,84.6,15,10,5,127.3,Palo Alto,Electronics,384.02
475,22,2364,497,71.2,8,7,6,120.3,Palo Alto,Clothing,383.22
706,22,1748,142,83.8,10,7,5,136,Los Angeles,Grocery,310.01
578,44,2349,94,51.6,17,10,8,97.4,Sacramento,Electronics,254.69
274,11,2356,295,61.4,12,13,4,85.8,San Francisco,Grocery,193.17
852,39,2044,219,72.6,26,10,7,103.1,Sacramento,Clothing,423.69
518,45,1916,95,72.2,2,8,7,102,Sacramento,Electronics,227.4
504,9,1854,134,54.4,18,13,4,96.6,San Francisco,Grocery,221.18
601,24,1950,402,86,7,7,5,139.7,San Francisco,Grocery,322.7
558,35,1933,249,56.6,20,8,6,111.3,Palo Alto,Clothing,355.62
674,41,1433,478,67.9,8,8,7,101.7,Palo Alto,Grocery,383.64
181,36,2103,154,64.6,4,4,6,113.6,San Francisco,Electronics,214.1
331,9,2302,488,73,16,9,3,89.9,Sacramento,Grocery,362.36
100,47,2729,257,92.9,27,13,7,96.1,San Francisco,Grocery,176.83
424,15,2921,266,91.1,19,11,5,76.8,Los Angeles,Clothing,251.8
383,35,1803,152,82,3,16,5,106,San Francisco,Grocery,211.62
459,40,1891,344,71.6,25,6,6,109.9,Palo Alto,Clothing,307.4
394,16,2475,488,50.9,4,16,4,90.4,Palo Alto,Grocery,322.76
546,36,1625,277,81,1,11,7,113.6,Los Angeles,Grocery,268.31
582,42,1380,250,86.5,24,7,8,114.2,San Francisco,Grocery,346.32
792,29,2928,143,68.7,14,5,5,74.6,Palo Alto,Electronics,307.88
625,33,2123,210,52.4,22,9,7,122.3,San Francisco,Clothing,319.2
400,15,1811,230,69.4,23,12,4,95.4,San Francisco,Electronics,271.75
319,45,1503,412,69.1,4,14,7,108.4,San Francisco,Grocery,287.56
561,43,2215,250,93.4,9,9,7,116.8,San Francisco,Electronics,270.1
483,29,2012,240,81.4,16,6,6,82.7,Los Angeles,Clothing,308.43
531,10,1166,162,65.1,29,12,3,95.1,Palo Alto,Grocery,285.19
546,26,1817,431,79.2,19,5,5,82.4,San Francisco,Grocery,345.08
233,28,2749,336,80.3,17,10,5,82.5,Sacramento,Electronics,192.54
631,41,3169,249,72.7,23,11,7,110,San Francisco,Electronics,326.95
469,38,1951,279,63.6,2,11,7,130.9,Los Angeles,Clothing,269.37
621,31,1663,136,85.2,29,5,6,99.6,San Francisco,Electronics,334.01
290,36,2633,107,63,21,11,7,93.7,Palo Alto,Clothing,206.97
641,32,1520,394,59.8,25,5,6,93.4,Palo Alto,Clothing,389.46
504,36,3356,204,82.6,8,13,7,98.3,Sacramento,Electronics,294.68
301,9,1502,442,85.2,4,9,3,115.5,San Francisco,Grocery,274.45
563,25,1939,357,60.1,10,10,5,105.2,Palo Alto,Electronics,324.83
456,49,2764,116,61.2,13,9,7,140,Sacramento,Electronics,234.49
596,7,2061,279,50.7,8,9,4,121.5,San Francisco,Clothing,300.73
499,12,1601,154,67.8,13,7,3,109.3,San Francisco,Grocery,292.56
734,30,2094,135,64.5,13,8,5,94.9,San Francisco,Grocery,303.8
242,45,2515,146,90.3,7,7,8,87,Los Angeles,Electronics,228.51
490,10,2454,89,66.7,6,15,4,64.9,Palo Alto,Grocery,211.71
100,39,1885,173,77.9,29,9,7,83.9,San Francisco,Electronics,188.83
590,23,1894,99,71.7,14,4,6,108.5,Sacramento,Electronics,323.4
850,50,2346,276,61.3,22,6,8,108.8,San Francisco,Grocery,442.85
586,45,2431,85,85.5,1,10,7,108.4,Sacramento,Clothing,224.43
471,15,2635,256,66.3,3,5,4,90.3,Palo Alto,Electronics,288.17
192,48,2984,248,81.9,11,12,8,106.9,Sacramento,Electronics,160.8
564,20,1368,227,51,10,13,5,84.3,Sacramento,Grocery,318.36
398,44,2399,181,91.3,17,8,8,110.2,San Francisco,Clothing,257.33
334,46,1849,440,86.6,29,17,7,108.5,Palo Alto,Grocery,325.07
372,29,2849,169,58.6,9,6,5,118,Los Angeles,Grocery,246.69
385,37,2567,400,52.5,28,7,6,113.6,Palo Alto,Grocery,300.73
491,15,1793,256,59.4,18,12,4,88.4,Palo Alto,Grocery,263.75
515,48,1918,151,69.2,9,12,8,103.8,Los Angeles,Grocery,264.34
677,43,2197,276,83.3,4,10,6,108.2,Palo Alto,Grocery,369.59
677,33,2392,430,81.5,22,14,6,65.5,Sacramento,Grocery,446.4
379,18,2138,65,75.3,15,9,4,92.3,Los Angeles,Electronics,172.68
246,30,2167,171,79.3,25,14,6,62.7,Los Angeles,Electronics,173.43
403,28,2702,361,70.3,12,11,6,126.6,San Francisco,Grocery,248.79
624,44,2454,268,86,18,14,8,77.9,San Francisco,Grocery,370.83
375,36,500,134,66.8,16,7,6,90.2,Los Angeles,Grocery,257.97
381,35,2031,327,85.3,5,14,7,95.2,Palo Alto,Electronics,315.89
422,36,2598,133,53,16,11,7,86,Sacramento,Electronics,211.68
400,36,1928,133,59.9,1,13,7,88.2,Los Angeles,Clothing,235.06
593,36,3067,230,72.6,3,14,6,91.9,San Francisco,Grocery,286.32
507,13,1917,181,85.3,9,8,4,109.4,Palo Alto,Grocery,254.12
680,25,1922,383,50.1,5,10,5,99.1,Los Angeles,Grocery,424.79
631,8,1598,306,61.3,19,8,3,118.1,Palo Alto,Electronics,367.03
449,14,1386,183,61,25,4,3,116,Palo Alto,Electronics,290.04
713,16,1983,344,67.9,19,1,4,104.6,Palo Alto,Grocery,336.78
526,38,1451,490,74.8,30,14,6,92.1,Palo Alto,Clothing,410.08
488,49,1419,336,90.4,13,16,7,78.8,Sacramento,Electronics,355.66
577,10,2429,115,56.6,1,17,4,115.5,Los Angeles,Clothing,302.6
473,42,2238,363,78,5,7,6,71.2,Los Angeles,Electronics,354.11
744,23,1877,124,61.7,9,5,5,102,San Francisco,Grocery,360.79
638,16,2132,345,81.7,20,10,5,107.9,Palo Alto,Clothing,348.31
328,29,2184,354,79.9,12,9,6,94.8,Sacramento,Clothing,285.92
655,19,1527,446,66.4,9,14,5,84.2,Los Angeles,Electronics,396.66
395,48,2889,274,71.8,6,12,8,100.7,San Francisco,Grocery,286.53
299,24,1844,418,51.1,16,11,5,72.8,San Francisco,Electronics,292.54
489,44,2377,206,81.2,12,8,7,103.4,Palo Alto,Electronics,249.16
522,50,2200,179,86.7,5,13,8,103.8,Sacramento,Grocery,326.22
640,37,2021,73,68.9,25,12,6,113.6,Sacramento,Clothing,260.52
557,40,1472,140,52.6,4,2,7,108,Los Angeles,Grocery,297.08
311,23,2643,159,69.6,4,9,6,84.6,Los Angeles,Clothing,242.8
770,7,2275,342,69.3,15,11,3,99.4,Sacramento,Grocery,394.55
310,43,2179,302,73.3,29,10,7,101.8,Los Angeles,Clothing,224.45
424,36,1212,170,81.6,27,12,6,119,San Francisco,Grocery,288.86
474,18,2121,91,65.3,10,9,5,84.1,San Francisco,Grocery,266.15
489,34,2656,361,79.4,30,12,7,118.6,Sacramento,Electronics,326.23
683,35,1977,265,80.5,29,8,6,118.8,Los Angeles,Clothing,325.24
562,49,2048,178,72.9,5,8,8,100.7,Sacramento,Electronics,277.46
663,38,1918,330,88.5,22,12,6,106.2,Palo Alto,Grocery,401.21
567,33,2221,359,51.9,29,11,6,109.2,Sacramento,Grocery,354.94
450,45,2618,208,50,13,12,8,106.7,Palo Alto,Grocery,260.63
320,41,1509,494,91.8,17,8,7,106.4,Palo Alto,Grocery,323.82
755,36,2944,256,62.5,28,14,6,83.5,Palo Alto,Clothing,399.65
737,17,2274,372,85.4,15,6,5,104.7,Los Angeles,Electronics,376.91
314,25,1906,408,85.1,30,11,6,92.8,Sacramento,Clothing,290.7
391,12,1981,497,61.4,25,5,4,111.2,Los Angeles,Clothing,348.7
534,14,1349,209,50.9,20,6,4,107.7,Los Angeles,Grocery,280.34
441,19,2354,83,68,25,13,5,100.2,Sacramento,Electronics,273.19
622,38,1420,64,64.7,25,15,7,83.7,Los Angeles,Electronics,241.43
495,45,2462,197,70.2,26,8,7,117,San Francisco,Clothing,307.35
708,10,2406,140,91.6,26,4,3,107.4,Sacramento,Electronics,317.86
658,46,2860,102,78.1,10,17,7,120.5,Sacramento,Electronics,327.66
357,23,1860,150,51.7,3,6,5,95.9,Los Angeles,Clothing,209.48
397,20,2582,84,81.8,25,9,4,103.3,Sacramento,Grocery,220.63
603,37,1588,258,90.1,29,16,7,92,Palo Alto,Grocery,348.74
486,8,1734,429,70.9,1,10,3,115.2,Sacramento,Clothing,385.03
558,33,2422,92,66.2,17,11,6,85.7,Palo Alto,Grocery,285.98
580,12,2003,400,55.6,8,9,3,109.4,Palo Alto,Clothing,315.69
676,29,2143,476,75.6,24,7,6,89.5,Los Angeles,Electronics,417.88
530,46,1815,491,66.5,19,6,8,95.9,San Francisco,Electronics,413.24
248,37,2004,98,58.9,20,12,7,106.1,San Francisco,Electronics,207.63
281,44,1899,330,52.7,10,13,7,103.4,Sacramento,Grocery,267.84
432,23,2607,185,59.6,29,10,5,136.2,San Francisco,Electronics,244.14
458,11,3057,81,69.4,21,9,4,95.1,San Francisco,Electronics,245.54
592,5,1581,205,83.5,15,7,3,99.3,San Francisco,Grocery,315.69
432,33,2349,482,61.4,11,18,6,107.4,Los Angeles,Electronics,302.67
267,26,1497,446,75.5,27,1,6,78.7,Palo Alto,Clothing,272.67
689,38,1541,100,79.5,6,10,6,111.6,San Francisco,Electronics,304.17
316,35,1960,291,70.5,24,8,6,109.4,Sacramento,Electronics,280.22
294,8,2444,368,73,10,7,3,96.4,San Francisco,Electronics,277.12
496,45,3325,234,53.8,8,9,8,103.5,Los Angeles,Electronics,273.22
305,37,2799,98,52,5,10,6,104.5,San Francisco,Grocery,194.53
535,45,2585,233,85,8,13,7,100.4,Los Angeles,Clothing,261.87
515,45,1921,234,91.9,23,6,8,102,Los Angeles,Grocery,286.56
198,45,3010,330,59.6,25,6,7,105,Sacramento,Electronics,273.07
630,22,1910,282,72.3,1,10,5,78,Palo Alto,Clothing,296.63
359,34,1916,483,82.1,27,12,7,113.3,Palo Alto,Electronics,345.04
306,17,1589,407,93.3,11,10,5,88.5,San Francisco,Grocery,300.39
632,14,1309,234,85.9,15,6,4,101.4,Sacramento,Clothing,285.71
612,23,1094,273,68.1,1,11,6,95.9,San Francisco,Electronics,377.83
167,38,1386,90,54.7,20,17,7,130.4,Sacramento,Grocery,169.91
703,49,1349,388,70.3,2,5,8,110.5,Palo Alto,Clothing,349.93
517,17,1811,495,56.8,12,11,4,104.7,Palo Alto,Grocery,318.01
412,5,1633,292,78.3,16,13,4,112.6,San Francisco,Clothing,233.8
626,31,2828,54,61.9,20,12,6,93.2,Sacramento,Grocery,223.38
567,24,1486,274,81.9,1,7,5,99,San Francisco,Grocery,324.82
796,37,1564,283,80.1,24,3,6,83.6,Los Angeles,Clothing,371.32
682,11,2090,168,71,7,9,4,109.3,San Francisco,Grocery,288.48
413,40,1823,447,76.4,4,8,7,81,Los Angeles,Electronics,310.87
330,16,2381,140,55.7,14,7,4,104.6,Los Angeles,Clothing,185.5
503,36,1531,380,85.9,10,12,7,86,Sacramento,Clothing,346.28
369,34,1976,474,71,11,12,6,80.1,Palo Alto,Clothing,330.75
664,29,2689,246,73.5,23,8,5,96.3,Palo Alto,Grocery,339.86
499,48,2253,69,52.8,15,11,8,99.1,Palo Alto,Electronics,251.19
518,23,2574,211,94.5,24,10,5,114.4,Palo Alto,Grocery,246
634,15,1674,271,69.5,26,8,5,90.3,Palo Alto,Electronics,351.78
751,5,1558,231,73.5,10,7,4,93,Palo Alto,Clothing,401.65
440,29,1946,343,86.2,25,8,6,99.3,Sacramento,Electronics,339.25
673,18,2088,142,90.2,30,10,4,113.9,Los Angeles,Electronics,340
705,34,2585,412,59.3,20,13,6,102.7,Palo Alto,Clothing,367.51
717,28,2589,438,85.1,27,12,6,99.3,San Francisco,Grocery,381.22
311,49,2016,229,52.8,24,9,8,87.3,Palo Alto,Clothing,205.17
424,38,1884,382,68.4,11,13,6,93.7,Sacramento,Electronics,332.58
321,33,2185,410,76.8,19,12,6,96.6,Los Angeles,Electronics,268.71
465,37,1725,381,54.6,11,8,6,90.2,Sacramento,Clothing,310.74
523,41,1453,95,71.7,7,9,6,94,Sacramento,Electronics,211.71
648,37,1861,478,74.2,28,10,7,95.3,San Francisco,Electronics,389.01
641,18,1433,143,52.1,15,12,4,116.5,Los Angeles,Clothing,322.83
846,26,2509,180,51.7,30,8,5,102.2,Los Angeles,Grocery,325.59
321,13,2656,268,73.1,25,11,5,67.1,Los Angeles,Grocery,213.9
489,16,2021,431,62.6,20,12,4,123.2,Los Angeles,Electronics,388.48
389,21,1545,305,79.7,25,10,5,110,Los Angeles,Clothing,279.07
567,39,2054,287,76.4,25,11,7,95.5,Los Angeles,Grocery,287.65
722,45,2414,249,50.1,16,8,7,101.9,Sacramento,Grocery,378.74
447,10,2362,191,71.5,15,6,4,94.9,Los Angeles,Clothing,242.38
421,46,2742,153,58.1,30,6,8,103.5,Palo Alto,Clothing,259.29
544,23,1826,201,76.6,23,7,4,78,San Francisco,Grocery,279.58
575,20,2522,135,61.7,15,10,5,90.7,Palo Alto,Electronics,250.21
622,29,2132,431,94.7,27,10,6,117.8,Sacramento,Clothing,400.05
698,8,1695,480,50.8,21,11,4,100.9,Los Angeles,Grocery,451.52
304,33,2377,143,91.1,7,12,6,115.4,Sacramento,Electronics,223.78
342,12,1971,452,80.6,28,9,4,96.7,Sacramento,Grocery,258.92
431,29,2109,76,55.5,13,8,5,121.2,San Francisco,Clothing,259.03
379,31,1543,335,50.8,25,16,6,118,Los Angeles,Grocery,256.78
569,21,1778,393,88.2,26,11,5,84.4,Los Angeles,Grocery,339.24
580,29,1654,174,82,16,12,5,79.1,Palo Alto,Clothing,257.54
757,7,2281,480,88.9,5,9,4,99.4,Los Angeles,Clothing,450.39
544,33,1636,498,78.4,5,12,6,111,Los Angeles,Grocery,411.56
756,27,1940,171,92.6,30,10,5,117.5,Los Angeles,Grocery,396.25
756,17,2104,326,90.7,17,14,4,86.3,San Francisco,Clothing,373.47
415,48,1883,412,84.6,11,9,8,99.1,Sacramento,Electronics,322
324,15,1912,66,88.6,20,14,4,86.1,Los Angeles,Grocery,226.42
597,20,1728,135,54.8,30,7,4,88.7,Palo Alto,Grocery,253.31
586,38,2176,212,57.3,16,5,7,119,Los Angeles,Grocery,326.79
585,22,1657,200,62.8,23,11,5,135,San Francisco,Grocery,284.59
516,37,2698,149,76.9,25,11,7,91.9,Sacramento,Electronics,238.96
100,6,3033,443,53.4,9,15,4,108.8,San Francisco,Clothing,246.43
751,7,2049,443,60.3,24,8,4,110.7,San Francisco,Grocery,445.39
213,43,2007,211,52.7,4,11,7,110,Palo Alto,Clothing,199.95
384,29,2038,491,85.7,2,11,6,91.3,Los Angeles,Clothing,348.64
533,40,2044,242,50.5,28,14,7,69.7,Sacramento,Electronics,276.72
504,23,1748,165,61.8,12,11,5,97.4,Los Angeles,Grocery,298.41
562,22,2168,164,86.1,26,12,4,92.5,Los Angeles,Clothing,263.03
547,31,2105,203,68.3,12,9,6,85.4,Los Angeles,Clothing,256.52
665,46,2204,470,54.9,1,11,7,110.2,Los Angeles,Electronics,452.44
607,11,2186,317,70.5,14,12,4,101.1,San Francisco,Grocery,392.55
848,17,1776,95,81.8,2,12,5,92.2,Sacramento,Electronics,322.7
331,13,2386,222,78.5,27,10,4,102.8,Sacramento,Clothing,281.07
396,31,2720,105,86.8,10,13,6,61.3,Palo Alto,Electronics,268.48
321,24,1427,326,61.8,21,8,5,84.6,Los Angeles,Electronics,280.81
641,45,2322,213,80.3,5,11,7,120.1,Palo Alto,Grocery,322.95
596,19,1412,98,71.2,18,5,5,100.2,Sacramento,Grocery,260.79
331,48,2671,376,76.6,15,15,8,117.3,Palo Alto,Clothing,257.88
527,16,2338,191,80.7,3,8,5,92.1,San Francisco,Grocery,258.95
749,36,1477,431,65.8,30,13,6,115.9,Los Angeles,Grocery,423.11
552,34,1943,74,50.9,1,13,7,111.1,Sacramento,Grocery,226.69
692,21,1760,419,78.1,21,12,5,134,San Francisco,Clothing,414.46
589,25,2797,486,61.8,30,17,6,117.2,Sacramento,Grocery,344.89
362,7,2262,55,78.9,30,9,3,93.1,Sacramento,Electronics,161.46
236,37,2009,237,78.5,11,11,6,106,Sacramento,Grocery,164.01
532,35,890,75,57.8,16,6,6,113.3,Sacramento,Electronics,251.23
455,21,2532,65,90.8,23,12,5,77.6,Palo Alto,Grocery,227.6
705,10,2934,315,94.8,28,15,4,96.5,San Francisco,Grocery,341.95
517,19,2268,256,88.7,26,12,4,77.1,Sacramento,Electronics,337.68
769,20,1709,160,89.8,25,8,4,77.3,Los Angeles,Clothing,354.17
594,34,1790,73,82.1,30,8,6,107.4,Sacramento,Electronics,316.71
440,30,2435,104,73.1,9,8,6,121.4,Palo Alto,Clothing,221.12
347,25,1147,132,81.4,17,8,5,138.1,San Francisco,Clothing,260.38
479,29,2249,103,59.3,9,12,5,115.1,Palo Alto,Grocery,252
466,49,2241,475,71.9,18,3,8,82.2,Los Angeles,Clothing,396.05
550,10,2384,53,81.3,14,15,4,106.4,Los Angeles,Grocery,294.56
380,28,2786,291,83.9,9,10,5,76.6,Sacramento,Clothing,284.21
617,44,1636,206,58.8,16,11,6,115.3,San Francisco,Clothing,327.13
501,23,2290,416,59.9,19,10,6,87.9,Sacramento,Grocery,369.59
660,26,1781,128,94.4,14,10,5,83.4,Sacramento,Electronics,344.05
199,38,2087,332,86.7,11,13,7,73.2,San Francisco,Electronics,219.19
487,12,2743,313,83.5,11,15,4,106.6,San Francisco,Clothing,319.72
352,19,2167,446,88.9,13,8,5,96.3,Palo Alto,Grocery,282.97
535,29,2127,389,65.3,12,5,5,88.4,Palo Alto,Clothing,373.27
511,20,2362,351,51.9,26,2,5,97.9,San Francisco,Clothing,290.83
652,42,1576,398,70.4,20,6,7,121.4,Sacramento,Grocery,389.79
506,31,1392,454,80.2,20,12,6,70.5,San Francisco,Electronics,376.42
198,48,1923,177,88.6,23,9,8,109.4,Los Angeles,Clothing,215.27
592,19,2039,349,69.3,25,15,4,91.4,San Francisco,Electronics,331.78
432,7,2138,341,84.9,4,11,3,107.9,Los Angeles,Electronics,340.24
784,24,2317,320,54.1,2,12,5,85.7,Los Angeles,Grocery,391.82
520,48,1901,273,94.4,10,7,8,111.3,Sacramento,Clothing,301.17
477,50,916,82,89.6,22,14,8,109.5,Palo Alto,Grocery,219.9
588,11,1755,347,77.6,6,13,4,86.7,Los Angeles,Clothing,301.57
438,11,2198,249,51.1,4,8,4,71.3,Palo Alto,Clothing,229.48
1092,42,2257,434,78.3,15,10,7,100.9,Palo Alto,Clothing,534.26
561,22,1608,451,67.8,15,13,5,113.1,Palo Alto,Clothing,399.73
970,16,1919,125,82,10,10,5,120.9,Palo Alto,Clothing,443.95
998,7,2083,279,80.2,27,3,3,88.5,Sacramento,Clothing,429.02
433,37,1862,365,74,21,9,6,100.6,Los Angeles,Grocery,310.54
353,49,1890,471,78,30,17,7,88.2,Palo Alto,Clothing,353.71
618,9,1704,88,89.2,10,8,3,90.6,San Francisco,Clothing,327.31
444,19,1161,288,71.5,5,11,4,115.1,Palo Alto,Grocery,310.17
605,12,1631,154,52.2,3,12,4,71.8,Sacramento,Grocery,320.73
612,10,2343,347,70.7,21,10,3,84.3,Los Angeles,Electronics,405.07
406,19,2244,482,58.7,24,13,4,74.2,Sacramento,Grocery,304.16
631,11,2222,153,90.3,17,10,5,134.5,Sacramento,Electronics,309.29
417,11,1601,250,58,19,10,4,77.7,San Francisco,Grocery,227
284,33,2210,201,70.7,26,14,7,100.3,Los Angeles,Grocery,180.86
478,45,2216,403,80.5,21,8,8,89.8,Sacramento,Clothing,369.03
449,28,1924,326,91.8,5,13,6,106.1,Los Angeles,Electronics,317.09
715,35,1792,203,91.4,11,11,6,105,Los Angeles,Grocery,301.12
681,44,1723,242,73.6,27,8,7,99.5,Los Angeles,Grocery,329.7
573,12,2697,339,73.4,6,3,3,100.4,Palo Alto,Electronics,310.5
