StoreID,ProductVariety,MarketingSpend,CustomerFootfall,StoreSize,EmployeeEfficiency,StoreAge,CompetitorDistance,PromotionsCount,EconomicIndicator,StoreLocation,StoreCategory,MonthlySalesRevenue,ReportMonth,RecurringRevenuePct,MRR,RunRateAnnualRevenue,PayrollCost,RentCost,TechOpsCost,SupportOpsCost,COGS,TotalMonthlyCost,BurnRate,CashReserve,RunwayMonths,ConversionRate,NewCustomers,ActiveCustomers,GrossMarginPct,ARPU,ChurnRate,CAC,CLV,CLV_CAC_Ratio,NPS,CSAT,SupportTickets,ResolutionTimeHours,DAU,MAU,DAU_MAU_Ratio,ErrorRatePct,SystemUptimePct,CycleTimeDays,TimeToMarketDays,RevenuePerSqFt,FootfallPerPromotion,RevenuePerEmployeeEfficiencyPoint
STORE-0011,851,10,1501,223,53.6,18,9,4,99.5,Los Angeles,Clothing,393.32,2025-04-30,0.3,118.0,4719.84,54.69,33.45,10.92,3.95,232.06,345.07,0.0,1240.88,999.0,0.0261,41,507,0.41,223.43,0.043,243.9,2130.4,8.73,15.9,74.4,13,17.02,118,532,0.2218,1.688,99.573,27.4,27.4,1.764,375.25,7.338
STORE-0012,458,26,1673,324,63.5,28,7,5,114.6,Palo Alto,Grocery,266.49,2025-05-31,0.48,127.92,3197.88,59.36,55.08,11.94,4.28,194.54,351.2,84.71,1178.78,13.92,0.0231,41,611,0.27,171.68,0.021,634.15,2207.27,3.48,22.5,77.4,21,16.77,200,642,0.3115,2.025,99.414,13.0,13.0,0.822,334.6,4.197
STORE-0013,432,18,1901,286,50.1,13,7,5,76.6,San Francisco,Grocery,283.63,2025-06-30,0.43,121.96,3403.56,63.9,45.76,10.89,4.43,207.05,350.03,66.4,1299.68,19.57,0.0214,39,713,0.27,140.26,0.049,461.54,772.88,1.67,7.3,70.2,14,15.69,290,1088,0.2665,2.036,99.492,15.0,15.0,0.992,380.2,5.661
STORE-0014,555,40,2528,333,68.6,6,8,7,101.4,Sacramento,Electronics,303.41,2025-07-31,0.25,75.85,3640.92,57.04,39.96,8.51,5.27,200.25,351.03,47.62,1067.41,22.42,0.0222,54,824,0.34,110.46,0.025,740.74,1502.27,2.03,37.3,79.5,30,14.74,253,1059,0.2389,1.083,99.715,12.4,12.4,0.911,361.14,4.423
STORE-0015,587,37,1797,268,53.7,28,10,7,109.3,San Francisco,Clothing,274.64,2025-08-31,0.33,90.63,3295.68,59.58,42.88,12.29,4.8,162.04,318.59,43.95,1337.84,30.44,0.0227,36,614,0.41,141.7,0.039,1027.78,1489.68,1.45,22.7,75.4,24,20.37,254,1000,0.254,1.913,99.44,15.8,15.8,1.025,256.71,5.114
STORE-0016,637,46,1345,112,86.8,9,10,7,94.2,Los Angeles,Grocery,263.24,2025-09-30,0.57,150.05,3158.88,20.9,16.8,6.61,4.51,192.17,286.99,23.75,1228.65,51.73,0.028,31,352,0.27,349.55,0.017,1483.87,5551.65,3.74,49.2,85.7,7,11.6,89,430,0.207,0.973,99.741,10.4,10.4,2.35,192.14,3.033
STORE-0017,510,17,1556,284,67.5,12,6,5,119.0,San Francisco,Clothing,297.06,2025-10-31,0.35,103.97,3564.72,52.36,45.44,9.1,4.2,175.27,303.37,6.31,1406.84,222.95,0.0221,34,603,0.41,165.52,0.021,500.0,3231.67,6.46,24.1,78.5,12,15.01,190,757,0.251,1.249,99.676,16.5,16.5,1.046,311.2,4.401
STORE-0018,586,41,2249,397,62.8,28,8,7,88.5,Los Angeles,Clothing,313.59,2025-11-30,0.38,119.16,3763.08,67.85,59.55,11.06,5.09,185.02,369.57,55.98,1124.83,20.09,0.0231,43,840,0.41,136.18,0.023,953.49,2427.61,2.55,31.1,82.4,21,21.95,213,934,0.2281,1.992,99.422,17.5,17.5,0.79,321.29,4.993
STORE-0019,834,44,1403,340,68.2,24,11,7,77.5,Los Angeles,Grocery,405.82,2025-12-31,0.51,206.97,4869.84,58.07,51.0,10.89,4.55,296.25,464.76,58.94,1242.45,21.08,0.0294,34,555,0.27,305.79,0.029,1294.12,2847.04,2.2,34.5,83.1,10,15.32,100,538,0.1859,2.175,99.379,22.5,22.5,1.194,200.43,5.95
STORE-0020,353,16,1624,416,88.2,9,10,5,102.9,San Francisco,Clothing,281.78,2026-01-31,0.41,115.53,3381.36,53.43,66.56,6.93,4.25,166.25,313.42,31.64,1423.48,44.99,0.0217,31,776,0.41,142.92,0.017,516.13,3446.98,6.68,49.1,85.0,34,15.49,325,1280,0.2539,0.792,99.784,12.7,12.7,0.677,324.8,3.195
STORE-0021,253,18,2458,224,83.4,21,8,4,101.5,Palo Alto,Grocery,229.94,2026-02-28,0.48,110.37,2759.28,35.43,38.08,9.06,4.57,167.86,273.0,43.06,871.54,20.24,0.0215,43,844,0.27,107.23,0.021,418.6,1378.69,3.29,39.1,80.4,28,10.93,200,804,0.2488,1.457,99.548,9.6,9.6,1.027,614.5,2.757
STORE-0022,507,9,2927,282,75.8,23,14,3,112.8,Los Angeles,Grocery,320.17,2026-03-31,0.48,153.68,3842.04,46.75,42.3,9.56,4.65,233.72,345.98,25.81,1374.06,53.24,0.0251,68,796,0.27,158.31,0.012,132.35,3562.06,26.91,38.1,82.0,27,13.67,329,1349,0.2439,1.704,99.49,15.8,15.8,1.135,975.67,4.224
STORE-0023,517,16,2599,62,69.6,12,17,4,109.5,Palo Alto,Clothing,211.23,2026-04-30,0.35,73.93,2534.76,26.58,10.54,9.36,4.66,124.63,191.77,0.0,947.77,999.0,0.0231,60,648,0.41,109.53,0.017,266.67,2641.51,9.91,33.5,78.2,28,14.71,218,651,0.3349,1.208,99.686,16.5,16.5,3.407,649.75,3.035
STORE-0024,458,32,2382,490,56.2,10,3,6,74.4,Palo Alto,Grocery,365.12,2026-05-31,0.43,157.0,4381.44,82.37,83.3,10.22,4.96,266.54,479.39,114.27,1228.56,10.75,0.022,53,1125,0.27,114.44,0.067,603.77,461.16,0.76,6.9,70.3,45,23.25,446,1588,0.2809,2.172,99.4,18.5,18.5,0.745,397.0,6.497
STORE-0025,250,12,1736,57,90.7,9,9,3,93.4,Palo Alto,Grocery,203.92,2024-06-30,0.54,110.12,2447.04,12.31,9.69,6.86,3.88,148.86,193.6,0.0,933.74,999.0,0.022,37,507,0.27,178.1,0.012,324.32,4007.33,12.36,48.0,85.7,20,12.35,208,558,0.3728,1.092,99.713,5.0,5.0,3.578,578.67,2.248
STORE-0026,458,6,2021,182,59.9,4,6,3,97.7,Palo Alto,Grocery,211.58,2024-07-31,0.43,90.98,2538.96,46.08,30.94,8.34,4.06,154.45,249.87,38.29,1043.7,27.26,0.0224,47,639,0.27,116.75,0.037,127.66,851.96,6.67,15.4,76.2,17,17.52,202,966,0.2091,1.451,99.629,12.1,12.1,1.163,673.67,3.532
STORE-0027,458,42,2189,336,58.1,22,10,7,109.7,Sacramento,Grocery,288.35,2024-08-31,0.46,132.64,3460.2,64.19,40.32,11.14,5.05,210.5,373.2,84.85,1316.02,15.51,0.0231,46,819,0.27,132.8,0.033,913.04,1086.56,1.19,19.5,72.5,22,19.62,343,996,0.3444,1.831,99.46,9.6,9.6,0.858,312.71,4.963
STORE-0028,587,27,1966,422,51.9,16,16,5,72.9,Los Angeles,Clothing,377.97,2024-09-30,0.3,113.39,4535.64,77.68,63.3,10.46,4.47,223.0,405.91,27.94,1485.87,53.18,0.0226,46,766,0.41,142.11,0.045,586.96,1294.76,2.21,18.3,71.7,19,22.32,278,1079,0.2576,2.275,99.435,20.5,20.5,0.896,393.2,7.283
STORE-0029,521,39,1994,76,55.9,25,10,7,109.5,Palo Alto,Electronics,289.66,2024-10-31,0.2,57.93,3475.92,37.03,12.92,11.39,4.93,191.18,296.45,6.79,1314.14,193.54,0.0209,39,661,0.34,105.17,0.041,1000.0,872.12,0.87,23.1,76.4,18,15.26,202,1055,0.1915,2.017,99.416,11.4,11.4,3.811,284.86,5.182
STORE-0030,360,44,1819,145,67.1,4,13,8,111.9,San Francisco,Grocery,197.75,2024-11-30,0.51,100.85,2373.0,37.34,23.2,8.23,5.03,144.36,262.16,64.41,823.22,12.78,0.0227,36,686,0.27,120.55,0.017,1222.22,1914.61,1.57,38.2,82.7,19,15.38,231,988,0.2338,1.145,99.701,10.4,10.4,1.364,227.38,2.947
STORE-0031,345,17,2266,223,69.7,21,12,5,98.4,Palo Alto,Electronics,270.36,2024-12-31,0.22,59.48,3244.32,44.22,37.91,10.28,4.66,178.44,292.51,22.15,1227.19,55.4,0.0192,46,885,0.34,80.65,0.029,369.57,945.56,2.56,29.5,78.2,19,14.74,200,885,0.226,1.499,99.538,9.9,9.9,1.212,453.2,3.879
STORE-0032,344,47,1755,210,75.1,27,9,7,101.9,Sacramento,Electronics,241.87,2025-01-31,0.25,60.47,2902.44,39.29,25.2,10.82,4.77,159.63,286.71,44.84,1146.58,25.57,0.0196,30,549,0.34,132.17,0.025,1566.67,1797.58,1.15,40.0,81.3,15,14.99,100,763,0.1311,1.653,99.502,7.6,7.6,1.152,250.71,3.221
STORE-0033,331,7,2893,110,82.1,27,7,4,87.3,Palo Alto,Electronics,203.15,2025-02-28,0.22,44.69,2437.8,23.74,18.7,9.48,4.85,134.08,197.85,0.0,926.03,999.0,0.0194,46,744,0.34,72.08,0.029,152.17,845.08,5.55,38.0,83.8,22,11.01,179,892,0.2007,1.478,99.543,12.1,12.1,1.847,723.25,2.474
STORE-0034,383,7,1770,368,94.9,8,13,4,60.0,Los Angeles,Electronics,349.08,2025-03-31,0.28,97.74,4188.96,43.79,55.2,5.91,4.12,230.39,346.41,0.0,1296.98,999.0,0.0215,33,664,0.34,176.64,0.031,212.12,1937.33,9.13,47.9,85.7,17,15.48,188,625,0.3008,1.107,99.71,8.9,8.9,0.949,442.5,3.678
STORE-0035,356,8,2590,368,56.8,23,6,4,73.9,Los Angeles,Clothing,233.12,2025-04-30,0.3,69.94,2797.44,68.56,55.2,11.39,4.65,137.54,285.34,52.22,817.66,15.66,0.0186,44,882,0.41,76.13,0.055,181.82,567.48,3.12,13.4,75.1,19,19.75,207,1080,0.1917,2.115,99.393,11.0,11.0,0.633,647.5,4.104
STORE-0036,395,45,2513,136,94.2,3,10,7,70.9,Sacramento,Grocery,272.26,2025-05-31,0.57,155.19,3267.12,18.73,16.32,5.12,5.26,198.75,289.18,16.92,948.01,56.03,0.0248,56,690,0.27,184.43,0.019,803.57,2620.83,3.26,56.4,87.0,19,11.26,209,1049,0.1992,1.175,99.694,11.0,11.0,2.002,359.0,2.89
STORE-0037,475,30,2569,416,82.2,1,10,6,102.3,Palo Alto,Grocery,382.47,2025-06-30,0.48,183.59,4589.64,57.33,70.72,5.87,5.08,279.2,448.2,65.73,1565.62,23.82,0.0251,61,1037,0.27,145.17,0.021,491.8,1866.5,3.8,53.6,81.6,32,19.26,350,1336,0.262,0.942,99.749,16.1,16.1,0.919,428.17,4.653
STORE-0038,627,41,2579,167,92.0,27,12,7,92.2,Palo Alto,Grocery,322.62,2025-07-31,0.57,183.89,3871.44,23.57,28.39,8.75,5.3,235.51,342.52,19.9,1281.62,64.4,0.0284,76,685,0.27,220.13,0.012,539.47,4952.95,9.18,61.7,90.0,25,12.28,231,1039,0.2223,1.285,99.588,12.1,12.1,1.932,368.43,3.507
STORE-0039,590,24,2192,90,58.2,11,10,5,108.3,San Francisco,Electronics,230.59,2025-08-31,0.17,39.2,2767.08,37.07,14.4,9.44,4.61,152.19,241.71,11.12,934.26,84.02,0.0218,42,766,0.34,61.41,0.045,571.43,463.99,0.81,19.7,76.0,28,16.39,302,1178,0.2564,1.461,99.627,14.5,14.5,2.562,438.4,3.962
STORE-0040,673,23,2968,89,82.5,25,11,4,103.4,Palo Alto,Electronics,302.74,2025-09-30,0.22,66.6,3632.88,21.16,15.13,9.56,4.89,199.81,273.55,0.0,1107.98,999.0,0.025,70,668,0.34,119.64,0.029,328.57,1402.68,4.27,41.4,84.4,15,12.51,275,922,0.2983,1.335,99.576,19.7,19.7,3.402,742.0,3.67
STORE-0041,648,32,2720,128,64.7,11,8,6,97.9,Palo Alto,Grocery,272.91,2025-10-31,0.48,131.0,3274.92,37.02,21.76,9.09,5.17,199.22,304.26,31.35,1217.41,38.83,0.0261,64,614,0.27,174.95,0.021,500.0,2249.37,4.5,26.6,77.5,11,14.81,241,779,0.3094,1.3,99.664,16.3,16.3,2.132,453.33,4.218
STORE-0042,420,25,2296,481,67.2,5,9,5,92.6,Palo Alto,Electronics,295.04,2025-11-30,0.22,64.91,3540.48,74.23,81.77,8.52,4.68,194.73,388.93,93.89,1509.16,16.07,0.0198,47,1085,0.34,71.79,0.029,531.91,841.67,1.58,22.5,76.8,28,18.06,356,1613,0.2207,1.464,99.566,19.2,19.2,0.613,459.2,4.39
STORE-0043,372,36,2277,327,82.8,18,9,6,80.0,Sacramento,Electronics,237.53,2025-12-31,0.22,52.26,2850.36,47.15,39.24,8.66,4.89,156.77,292.71,55.18,903.9,16.38,0.0204,39,906,0.34,69.22,0.041,923.08,574.01,0.62,33.8,87.2,20,12.91,207,1029,0.2012,1.148,99.7,9.4,9.4,0.726,379.5,2.869
STORE-0044,471,42,1863,106,94.1,6,9,7,116.3,Los Angeles,Clothing,225.47,2026-01-31,0.44,99.21,2705.64,15.5,15.9,5.65,4.84,133.03,216.92,0.0,1021.49,999.0,0.0241,38,526,0.41,181.07,0.012,1105.26,6186.48,5.6,52.5,86.1,15,11.05,213,617,0.3452,0.942,99.749,9.6,9.6,2.127,266.14,2.396
STORE-0045,524,37,2507,232,90.8,2,7,7,83.4,Los Angeles,Grocery,254.58,2026-02-28,0.57,145.11,3054.96,31.5,34.8,6.0,5.26,185.84,300.4,45.82,1145.87,25.01,0.0263,62,861,0.27,138.2,0.019,596.77,1963.89,3.29,50.7,90.6,38,14.26,191,944,0.2023,0.663,99.814,11.4,11.4,1.097,358.14,2.804
STORE-0046,569,10,3168,115,54.2,14,10,3,102.5,San Francisco,Clothing,298.26,2026-03-31,0.3,89.48,3579.12,42.42,18.4,10.83,4.8,175.97,262.42,0.0,1151.91,999.0,0.022,69,778,0.41,110.41,0.043,144.93,1052.77,7.26,2.3,74.9,17,14.49,168,1151,0.146,1.533,99.61,14.9,14.9,2.594,1056.0,5.503
STORE-0047,341,41,2148,458,53.8,3,9,7,104.6,Palo Alto,Clothing,307.22,2026-04-30,0.33,101.38,3686.64,80.41,77.86,8.97,5.03,181.26,394.53,87.31,1096.51,12.56,0.0189,41,813,0.41,119.71,0.039,1000.0,1258.5,1.26,13.5,77.6,21,24.79,208,897,0.2319,1.736,99.502,16.0,16.0,0.671,306.86,5.71
STORE-0048,658,16,1632,345,72.3,18,12,4,95.3,Sacramento,Electronics,348.6,2026-05-31,0.22,76.69,4183.2,55.96,41.4,9.15,4.03,230.08,356.62,8.02,1619.56,201.94,0.024,38,697,0.34,132.03,0.029,421.05,1547.99,3.68,30.7,77.8,26,15.54,221,788,0.2805,1.427,99.635,20.4,20.4,1.01,408.0,4.822
STORE-0049,609,36,2140,230,63.2,1,6,7,128.4,Los Angeles,Clothing,285.25,2024-06-30,0.38,108.4,3423.0,49.22,34.5,8.19,5.02,168.3,301.23,15.98,1398.54,87.52,0.0236,51,693,0.41,150.16,0.017,705.88,3621.61,5.13,24.3,77.4,22,16.14,238,753,0.3161,1.157,99.698,19.6,19.6,1.24,305.71,4.513
STORE-0050,350,20,1874,58,68.7,28,4,5,93.9,San Francisco,Grocery,175.45,2024-07-31,0.48,84.22,2105.4,26.72,9.28,10.61,4.41,128.08,199.1,23.65,774.05,32.73,0.0215,37,555,0.27,124.43,0.039,540.54,861.46,1.59,21.0,76.5,10,12.89,101,483,0.2091,1.655,99.501,11.2,11.2,3.025,374.8,2.554
STORE-0051,123,41,2450,201,93.0,8,14,7,116.2,San Francisco,Electronics,193.79,2024-08-31,0.31,60.07,2325.48,26.66,32.16,5.89,5.22,127.9,238.83,45.04,1004.67,22.31,0.0182,36,680,0.34,106.01,0.012,1138.89,3003.5,2.64,56.6,86.2,15,11.47,249,1155,0.2156,0.907,99.757,5.0,5.0,0.964,350.0,2.084
STORE-0052,743,14,2364,270,91.3,24,15,4,115.7,San Francisco,Grocery,329.44,2024-09-30,0.54,177.9,3953.28,35.36,43.2,7.91,4.51,240.49,345.47,16.03,1660.43,103.58,0.0301,60,883,0.27,165.21,0.012,233.33,3717.16,15.93,59.9,83.5,38,13.22,196,1101,0.178,1.232,99.6,16.8,16.8,1.22,591.0,3.608
STORE-0053,550,13,1274,365,76.5,25,14,5,111.0,Palo Alto,Grocery,370.0,2024-10-31,0.48,177.6,4440.0,55.42,62.05,10.23,4.02,270.1,414.82,44.82,1392.52,31.07,0.0261,27,674,0.27,216.07,0.012,481.48,4861.6,10.1,42.7,82.8,14,18.27,169,951,0.1777,1.686,99.494,17.6,17.6,1.014,254.8,4.837
STORE-0054,689,45,2753,258,58.7,15,13,6,132.9,Los Angeles,Clothing,310.33,2024-11-30,0.3,93.1,3723.96,55.22,38.7,10.4,5.2,183.09,337.61,27.28,1324.17,48.54,0.0249,62,786,0.41,113.71,0.037,725.81,1260.03,1.74,19.2,77.9,27,17.14,202,1138,0.1775,1.689,99.573,18.8,18.8,1.203,458.83,5.287
STORE-0055,587,48,2079,325,87.4,24,6,8,117.0,Palo Alto,Grocery,352.54,2024-12-31,0.57,200.95,4230.48,43.94,55.25,9.03,5.2,257.35,418.77,66.23,1407.92,21.26,0.0272,53,664,0.27,248.16,0.012,905.66,5583.63,6.17,49.1,85.8,26,15.31,172,767,0.2243,1.485,99.541,12.4,12.4,1.085,259.88,4.034
STORE-0056,359,30,1764,345,59.4,24,10,6,93.0,Palo Alto,Electronics,272.66,2025-01-31,0.17,46.35,3271.92,64.34,58.65,11.63,4.56,179.96,349.14,76.48,1399.09,18.29,0.0185,29,712,0.34,78.12,0.045,1034.48,590.22,0.57,19.2,78.1,17,15.32,258,1118,0.2308,1.899,99.444,7.9,7.9,0.79,294.0,4.59
STORE-0057,401,38,2517,162,74.9,10,10,7,122.7,Los Angeles,Clothing,219.76,2025-02-28,0.38,83.51,2637.12,34.14,24.3,8.06,5.26,129.66,239.42,19.66,719.94,36.62,0.0217,52,867,0.41,92.47,0.017,730.77,2230.11,3.05,35.3,83.8,32,16.26,164,1311,0.1251,1.325,99.659,13.2,13.2,1.357,359.57,2.934
STORE-0058,626,36,1814,451,54.2,15,15,6,80.0,Los Angeles,Grocery,421.11,2025-03-31,0.43,181.08,5053.32,79.38,67.65,10.7,4.59,307.41,505.73,84.62,1618.42,19.13,0.0254,43,871,0.27,170.48,0.039,837.21,1180.23,1.41,15.2,78.1,19,20.57,197,1215,0.1621,1.973,99.446,18.6,18.6,0.934,302.33,7.77
STORE-0059,537,22,1576,441,87.3,22,11,5,94.1,Sacramento,Clothing,393.86,2025-04-30,0.41,161.48,4726.32,56.76,52.92,8.16,4.22,232.38,376.44,0.0,1913.75,999.0,0.0244,38,807,0.41,192.1,0.027,578.95,2917.0,5.04,50.5,86.2,20,16.97,149,1075,0.1386,1.471,99.544,19.5,19.5,0.893,315.2,4.512
STORE-0060,330,12,1754,240,91.3,27,13,4,107.3,Sacramento,Clothing,235.99,2025-05-31,0.41,96.76,2831.88,32.06,28.8,8.42,4.11,139.23,224.62,0.0,899.31,999.0,0.0217,37,616,0.41,150.79,0.017,324.32,3636.82,11.21,49.5,87.5,16,10.89,225,811,0.2774,1.423,99.556,5.0,5.0,0.983,438.5,2.585
STORE-0061,606,20,1157,181,85.1,25,11,4,93.9,Los Angeles,Clothing,270.8,2025-06-30,0.41,111.03,3249.6,29.6,27.15,9.33,3.73,159.77,249.58,0.0,1250.11,999.0,0.0251,26,409,0.41,260.61,0.027,769.23,3957.39,5.14,38.7,84.3,18,13.37,170,676,0.2515,1.475,99.543,12.5,12.5,1.496,289.25,3.182
STORE-0062,362,21,2155,85,86.2,24,6,5,94.0,Palo Alto,Electronics,238.37,2025-07-31,0.28,66.74,2860.44,18.32,14.45,8.88,4.59,157.32,224.56,0.0,885.74,999.0,0.0203,39,627,0.34,127.73,0.029,538.46,1497.55,2.78,42.0,86.6,14,9.16,212,658,0.3222,1.201,99.608,5.0,5.0,2.804,431.0,2.765
STORE-0063,747,35,2233,449,78.6,30,7,6,128.0,Los Angeles,Grocery,404.24,2025-08-31,0.48,194.04,4850.88,63.3,67.35,10.45,4.86,295.1,476.06,71.82,2032.08,28.29,0.0288,62,847,0.27,187.85,0.015,564.52,3381.38,5.99,39.3,80.6,18,15.97,272,1267,0.2147,1.91,99.441,23.7,23.7,0.9,372.17,5.143
STORE-0064,522,31,1481,480,69.5,8,7,6,87.5,San Francisco,Electronics,387.57,2025-09-30,0.22,85.27,4650.84,72.62,76.8,8.63,4.38,255.8,449.23,61.66,1885.63,30.58,0.0215,31,816,0.34,125.4,0.029,1000.0,1470.17,1.47,20.9,79.9,35,18.5,324,1061,0.3054,1.371,99.588,17.7,17.7,0.807,246.83,5.577
STORE-0065,450,26,1855,57,77.8,16,7,6,91.0,Los Angeles,Electronics,197.63,2025-10-31,0.22,43.48,2371.56,20.7,8.55,8.78,4.62,130.44,199.09,1.46,704.44,482.49,0.0211,35,444,0.34,117.51,0.029,742.86,1377.74,1.85,36.2,82.8,9,14.78,107,571,0.1874,1.339,99.655,14.9,14.9,3.467,309.17,2.54
STORE-0066,562,31,1078,479,55.7,8,11,5,82.5,San Francisco,Clothing,338.81,2025-11-30,0.3,101.64,4065.72,81.48,76.64,9.64,3.9,199.9,402.56,63.75,1593.2,24.99,0.0221,21,638,0.41,152.94,0.055,1476.19,1140.08,0.77,17.5,74.1,26,21.04,125,938,0.1333,1.566,99.542,17.6,17.6,0.707,215.6,6.083
STORE-0067,464,27,1744,315,52.5,12,7,6,82.0,San Francisco,Clothing,324.74,2025-12-31,0.3,97.42,3896.88,65.53,50.4,10.45,4.55,191.6,349.53,24.79,1189.43,47.98,0.0202,35,703,0.41,133.03,0.055,771.43,991.71,1.29,11.8,75.4,25,16.22,212,966,0.2195,1.513,99.614,11.6,11.6,1.031,290.67,6.186
STORE-0068,572,23,2073,247,55.0,3,9,5,84.3,Palo Alto,Electronics,334.85,2026-01-31,0.17,56.92,4018.2,56.42,41.99,8.77,4.54,221.0,355.72,20.87,1383.06,66.27,0.0211,43,729,0.34,93.7,0.057,534.88,558.89,1.04,20.8,75.7,24,16.02,176,662,0.2659,1.24,99.679,13.3,13.3,1.356,414.6,6.088
STORE-0069,406,41,2293,485,57.6,29,14,7,101.5,Los Angeles,Grocery,325.75,2026-02-28,0.46,149.84,3909.0,80.91,72.75,11.62,5.12,237.8,449.2,123.45,1475.37,11.95,0.0225,44,1005,0.27,122.26,0.023,931.82,1435.2,1.54,29.1,77.9,38,22.4,289,1450,0.1993,2.074,99.343,14.5,14.5,0.672,327.57,5.655
STORE-0070,646,12,878,400,77.5,5,4,4,93.3,Sacramento,Electronics,380.99,2026-03-31,0.22,83.82,4571.88,58.62,48.0,7.16,3.55,251.45,380.78,0.0,1794.36,999.0,0.0235,19,551,0.34,182.55,0.047,631.58,1320.56,2.09,35.3,78.5,20,19.49,159,875,0.1817,0.887,99.762,26.1,26.1,0.952,219.5,4.916
